epoch,train_loss,val_loss,accuracy,precision,recall,iou
1,0.44752482246564057,0.4162135620405074,0.7053707570475363,0.685979959826757,0.9810005307545457,0.6743221836796951
2,0.43617466603793525,0.4109496937519839,0.7710501785872047,0.7399198703725137,0.9716078058928831,0.7219828492671918
3,0.43284063118035226,0.4125049945448532,0.8084289412148268,0.7730666219414455,0.9698746358026327,0.7541202940572241
4,0.4311496562502032,0.41083495430394906,0.8287301230523373,0.7945144933282401,0.9683016244510501,0.773288512939464
5,0.43180125703172695,0.40984382308056566,0.8309844687349137,0.7978640092810406,0.9675406709835224,0.7760031032711195
6,0.4310435810441637,0.4086873595203672,0.8376619311680126,0.8057349281401848,0.9673943403919847,0.783688565601091
7,0.43061158444428027,0.4094810458470364,0.8390098922969302,0.8091022724182443,0.9653169990078716,0.7850674941487147
8,0.42950584343000375,0.4098037475732719,0.8439162974227727,0.8125979429785142,0.9637607325897607,0.7883640081414016
9,0.4295820972885835,0.4092536035950492,0.842071555467895,0.8155728697682575,0.9608380332415206,0.7885236321198337
10,0.42927822526471854,0.41143764930517496,0.8464073046230156,0.8161274105390164,0.9658904607708526,0.7926131018277996
11,0.43014274891973237,0.408589161374942,0.8444783863854316,0.8125637375472425,0.9675540553862483,0.7911550045277966
12,0.4301801900296012,0.4087048157238636,0.8466264648138317,0.8163101425129877,0.9661454696802546,0.7930359418761231
13,0.42974233209854895,0.4087395171324412,0.8481514685812628,0.8160613034960563,0.9672655180560475,0.7942522930865564
14,0.42901884478875635,0.4093441056455074,0.848098273726057,0.8233122732472182,0.9554589361619161,0.7920596520960012
15,0.4278210261365551,0.40861019020786093,0.8529050396574147,0.8242428891962315,0.9651753971142991,0.8001098223465426
16,0.42787098293174564,0.40859411611240737,0.8537487785697911,0.8239316897147883,0.9679847611585479,0.8015215687113108
17,0.4281690040755481,0.4083196952634928,0.852944928848326,0.8210274053244682,0.9678115444946381,0.799483072972976
18,0.42745903641681265,0.4072929952217608,0.8555200325781733,0.8257385064931115,0.9662923928683602,0.8031328909881847
19,0.42971634683615967,0.4109840763568067,0.8493801220845619,0.8182782501033018,0.9678243186455292,0.7967340485464622
20,0.4290799775997952,0.4104860379379623,0.8517047817662996,0.8203384266597317,0.9672011960486262,0.7982593025162396
21,0.42819311698094187,0.4081977182099608,0.8524695079672198,0.8239574467234226,0.9664179382244205,0.8005174286482342
22,0.4275578791021953,0.4085744242278897,0.8558657945420027,0.826863398166203,0.9671129099154983,0.8044080647512191
23,0.42855694787105697,0.40980841427230513,0.8540370090056486,0.8224402527698109,0.9673650634659867,0.8004571892500489
24,0.42819928159712584,0.4097167599160655,0.8569067548163206,0.8256692925417354,0.9656801290795612,0.802779084132216
25,0.42676459005689577,0.4112594590401974,0.8563988780899966,0.8272657107619807,0.968445846296354,0.8052087897391345
26,0.4261087664123987,0.40753241962924297,0.8586395958924108,0.8285103467717071,0.9673993890155614,0.8064197951145036
27,0.42834571975823277,0.4094236432289591,0.8546264131303427,0.8240338660344474,0.9672110646325327,0.8013158016344387
28,0.4277507725537751,0.4089536797635409,0.8544783629332071,0.8245030283703241,0.9672522777437816,0.8030066359244606
29,0.4273318480917684,0.4112297010158195,0.8574066842518427,0.8258822461669895,0.9692726861613038,0.8053566951174217
30,0.4277294235963534,0.40910175675843036,0.8557215986142827,0.8245207875684367,0.9679043124853869,0.8026309207639863
31,0.42708674518224793,0.410217833255424,0.8579962275313496,0.8272953568975865,0.9672945307908355,0.8053626341977183
32,0.42626628874717754,0.4091477056547087,0.8605906310770298,0.83020262224491,0.9695624989178394,0.8092234720537577
33,0.4268240020084938,0.41032455496642056,0.8575719679897861,0.8275977086460631,0.9684351612505746,0.8061230575868765
34,0.4275113179236071,0.4099353206198232,0.8561812776941734,0.8256890757629061,0.9683383569295304,0.8035421633879122
35,0.4258328560913699,0.4096411728635937,0.861088428052019,0.8310407183499072,0.9699069433175173,0.809663164277166
36,0.4251367935135323,0.40822128566349447,0.8640109623858437,0.8331981356063648,0.9692450115015071,0.8121690812524307
37,0.42651261966168186,0.4119005695390863,0.859164735222605,0.8289225844218819,0.9686516839938405,0.8078287008339865
38,0.4250671711427808,0.4181428764040778,0.8631289162988329,0.834640131542162,0.9687123918318795,0.8128685657449559
39,0.42455374626334075,0.41073117835992046,0.8643582327878429,0.8347124748787179,0.9690346325301938,0.8132550380363017
40,0.4265412987945493,0.41244745893137796,0.8602528887500095,0.8287529635446051,0.97084301894219,0.8086548972329495
41,0.42670942951675056,0.41254218865414055,0.8598647618572072,0.8279521869140376,0.9692425920921541,0.8073260887609324
